,HgtMOLA,LatPC,LonW,Denkgm3,Temp,EWind,EWTot,NWind,NWTot,VWind,DensP
0,124.85,-0.09,0.42,1.702e-09,121.9,15.0,12.2,18.9,11.4,-2.5,2.668736e-09
1,124.75,-0.09,0.42,1.729e-09,121.7,14.9,11.2,19.0,9.9,-2.8,2.64537e-09
2,124.65,-0.09,0.42,1.756e-09,121.6,14.8,12.5,19.0,9.6,-3.3,2.588344e-09
3,124.55,-0.09,0.42,1.784e-09,121.5,14.8,15.3,19.1,10.5,-3.5,2.5689599999999998e-09
4,124.45,-0.09,0.42,1.812e-09,121.4,14.7,14.2,19.2,13.1,-3.4,2.50962e-09
5,124.35,-0.09,0.42,1.841e-09,121.2,14.6,13.4,19.2,15.7,-2.8,2.757818e-09
6,124.25,-0.09,0.42,1.87e-09,121.1,14.6,12.5,19.3,16.9,-2.2,2.79565e-09
7,124.15,-0.09,0.42,1.9e-09,121.0,14.5,12.2,19.3,11.3,-2.5,2.7911000000000004e-09
8,124.05,-0.09,0.42,1.93e-09,120.9,14.4,11.1,19.4,6.1,-2.4,2.8023600000000002e-09
9,123.95,-0.09,0.42,1.96e-09,120.7,14.4,7.7,19.5,7.4,-3.2,2.7792799999999995e-09
10,123.85,-0.09,0.42,1.991e-09,120.6,14.3,9.6,19.5,5.2,-3.0,2.970572e-09
11,123.75,-0.09,0.42,2.023e-09,120.5,14.2,10.1,19.6,3.3,-2.7,3.0001090000000004e-09
12,123.65,-0.09,0.42,2.057e-09,120.4,14.1,10.0,19.6,5.7,-2.9,3.2027489999999996e-09
13,123.55,-0.09,0.42,2.091e-09,120.3,14.0,10.5,19.6,8.5,-2.3,3.109317e-09
14,123.45,-0.09,0.42,2.126e-09,120.1,13.9,9.6,19.6,8.7,-3.2,3.1656140000000002e-09
15,123.35,-0.09,0.42,2.162e-09,120.0,13.8,12.0,19.6,9.0,-3.6,3.2019220000000007e-09
16,123.25,-0.09,0.42,2.198e-09,119.9,13.6,11.8,19.6,6.0,-3.7,3.075002e-09
17,123.15,-0.09,0.42,2.235e-09,119.8,13.5,11.0,19.6,4.4,-3.9,3.1021799999999997e-09
18,123.05,-0.09,0.42,2.272e-09,119.6,13.4,11.1,19.6,5.2,-4.1,3.0853760000000003e-09
19,122.95,-0.09,0.42,2.31e-09,119.5,13.3,13.1,19.6,5.3,-4.4,3.1392900000000002e-09
20,122.85,-0.09,0.42,2.349e-09,119.4,13.2,11.2,19.6,6.9,-4.2,3.2016870000000002e-09
21,122.75,-0.09,0.42,2.388e-09,119.3,13.1,9.3,19.6,5.1,-4.6,3.121116e-09
22,122.65,-0.09,0.42,2.428e-09,119.2,12.9,9.0,19.6,4.5,-4.5,3.236524e-09
23,122.55,-0.09,0.42,2.468e-09,119.0,12.8,9.3,19.6,2.9,-4.9,3.114616e-09
24,122.45,-0.09,0.42,2.51e-09,118.9,12.7,8.1,19.6,1.1,-4.1,3.30316e-09
25,122.35,-0.09,0.42,2.552e-09,118.8,12.6,6.5,19.6,-0.1,-3.8,3.07516e-09
26,122.25,-0.09,0.42,2.594e-09,118.7,12.5,9.3,19.6,-0.4,-3.8,3.377388e-09
27,122.15,-0.09,0.42,2.638e-09,118.5,12.3,6.0,19.6,0.9,-4.0,3.5560240000000003e-09
28,122.05,-0.09,0.42,2.682e-09,118.4,12.2,5.6,19.6,0.9,-4.1,3.7843020000000005e-09
29,121.95,-0.09,0.42,2.727e-09,118.3,12.1,8.2,19.6,0.1,-3.8,3.885975e-09
30,121.85,-0.09,0.42,2.772e-09,118.2,12.0,8.5,19.6,2.0,-3.4,3.911292e-09
31,121.75,-0.09,0.42,2.819e-09,118.1,11.9,11.1,19.6,0.5,-3.3,4.112921e-09
32,121.65,-0.09,0.42,2.866e-09,117.9,11.8,10.4,19.6,3.1,-3.1,4.31333e-09
33,121.55,-0.09,0.42,2.914e-09,117.8,11.6,10.8,19.6,1.7,-3.4,4.347688e-09
34,121.45,-0.09,0.42,2.963e-09,117.7,11.5,12.5,19.7,2.9,-3.3,4.494870999999999e-09
35,121.35,-0.09,0.42,3.012e-09,117.6,11.4,13.3,19.7,-0.3,-4.0,4.4246280000000004e-09
36,121.25,-0.09,0.42,3.063e-09,117.4,11.3,13.3,19.7,3.5,-3.8,4.842603e-09
37,121.15,-0.09,0.42,3.114e-09,117.3,11.2,13.3,19.7,3.4,-3.7,4.7021400000000005e-09
38,121.05,-0.09,0.42,3.166e-09,117.2,11.0,13.7,19.7,3.5,-3.8,4.255104e-09
39,120.95,-0.09,0.42,3.219e-09,117.1,10.9,11.4,19.7,7.7,-3.5,4.381059e-09
40,120.85,-0.09,0.42,3.273e-09,117.0,10.8,9.7,19.7,10.9,-3.0,4.395639e-09
41,120.75,-0.09,0.42,3.328e-09,116.8,10.7,8.6,19.7,11.0,-2.4,4.452864000000001e-09
42,120.65,-0.09,0.42,3.384e-09,116.7,10.6,11.8,19.7,14.0,-3.0,4.558248e-09
43,120.55,-0.09,0.42,3.44e-09,116.6,10.4,10.6,19.7,15.0,-2.6,4.61992e-09
44,120.45,-0.09,0.42,3.498e-09,116.5,10.3,13.0,19.7,24.2,-2.7,4.725798e-09
