,HgtMOLA,LatPC,LonW,Denkgm3,Temp,EWind,EWTot,NWind,NWTot,VWind,DensP
0,125.06,-0.58,0.43,1.653e-09,121.8,15.8,21.7,18.3,-1.2,-0.8,2.702655e-09
1,124.06,-0.58,0.43,1.934e-09,120.6,15.1,12.7,18.9,7.2,2.5,2.9242080000000004e-09
2,123.06,-0.58,0.43,2.276e-09,119.4,14.0,13.3,19.0,18.0,2.2,3.2182639999999996e-09
3,122.06,-0.58,0.43,2.686e-09,118.1,12.8,10.7,19.0,16.2,2.7,4.375494e-09
4,121.06,-0.58,0.43,3.171e-09,116.9,11.6,7.7,18.9,26.7,3.0,5.387529e-09
5,120.06,-0.58,0.43,3.744e-09,115.7,10.4,10.7,18.9,15.0,4.0,6.6418560000000004e-09
6,119.06,-0.58,0.43,4.42e-09,114.5,9.2,8.1,18.9,6.7,3.7,9.206860000000001e-09
7,118.06,-0.58,0.43,5.217e-09,113.8,7.8,-5.0,18.3,-0.0,3.7,1.0934832e-08
8,117.06,-0.58,0.43,6.156e-09,113.1,6.4,-0.1,17.6,4.9,2.6,1.2552084e-08
9,116.06,-0.58,0.43,7.264e-09,112.5,4.9,6.9,16.8,-5.8,1.3,1.5065536e-08
10,115.06,-0.58,0.43,8.573e-09,111.9,3.5,0.7,16.1,-12.8,-1.0,1.9932225e-08
11,114.06,-0.58,0.43,1.012e-08,111.3,2.0,-3.2,15.3,-15.8,-0.2,2.339744e-08
12,113.06,-0.58,0.43,1.19e-08,111.3,0.9,1.7,14.2,-5.5,0.1,2.2740900000000003e-08
13,112.06,-0.58,0.43,1.398e-08,111.5,0.0,1.6,13.0,9.6,-1.4,1.9977420000000002e-08
14,111.06,-0.58,0.43,1.643e-08,111.6,-0.9,7.8,11.8,22.4,1.0,2.0981109999999996e-08
15,110.06,-0.58,0.43,1.93e-08,111.8,-1.8,2.4,10.6,19.1,1.7,2.38741e-08
16,109.06,-0.58,0.43,2.267e-08,112.0,-2.8,1.3,9.4,11.4,2.0,2.6591910000000002e-08
17,108.06,-0.58,0.43,2.648e-08,112.6,-3.2,3.9,8.2,3.1,2.5,3.0928639999999996e-08
18,107.06,-0.58,0.43,3.085e-08,113.4,-3.4,2.9,7.1,6.1,2.1,3.273185e-08
19,106.06,-0.58,0.43,3.595e-08,114.2,-3.6,-2.5,5.9,0.4,4.3,3.454795e-08
20,105.06,-0.58,0.43,4.189e-08,115.0,-3.9,-0.9,4.7,-1.9,4.8,3.7156430000000003e-08
21,104.06,-0.58,0.43,4.881e-08,115.8,-4.1,-5.4,3.5,-10.6,4.5,3.641226e-08
22,103.06,-0.58,0.43,5.665e-08,116.7,-4.0,0.6,2.5,-22.1,2.3,4.798255e-08
23,102.06,-0.58,0.43,6.564e-08,117.6,-3.9,6.3,1.5,-25.3,0.5,6.045444e-08
24,101.06,-0.58,0.43,7.607e-08,118.5,-3.7,1.7,0.6,-33.8,0.1,6.427915e-08
25,100.06,-0.58,0.43,8.816e-08,119.4,-3.5,-1.2,-0.4,-36.1,0.6,9.812208000000001e-08
26,99.06,-0.58,0.43,1.022e-07,120.3,-3.4,-17.8,-1.4,-26.2,0.2,9.92362e-08
27,98.06,-0.58,0.43,1.18e-07,121.0,-3.1,-19.0,-2.2,-25.3,0.4,1.40892e-07
28,97.06,-0.58,0.43,1.361e-07,121.7,-2.7,-19.2,-2.9,-21.9,1.0,1.808769e-07
29,96.06,-0.58,0.43,1.57e-07,122.5,-2.4,-20.8,-3.6,-25.5,-1.2,2.0048899999999996e-07
30,95.06,-0.58,0.43,1.811e-07,123.2,-2.1,-22.0,-4.4,-21.1,-2.7,2.01021e-07
31,94.06,-0.58,0.43,2.089e-07,123.9,-1.7,-20.7,-5.1,-16.5,-1.8,2.310434e-07
32,93.06,-0.58,0.43,2.451e-07,124.5,-1.4,-23.3,-5.5,-21.1,-1.9,2.3309009999999997e-07
33,92.06,-0.58,0.43,2.894e-07,125.1,-1.2,-15.8,-5.8,-34.6,-1.1,2.419384e-07
34,91.06,-0.58,0.43,3.418e-07,125.7,-0.9,-13.4,-6.1,-35.7,-1.0,2.6284420000000003e-07
35,90.06,-0.58,0.43,4.037e-07,126.2,-0.6,-21.4,-6.4,-21.4,-2.8,2.8501219999999997e-07
36,89.06,-0.58,0.43,4.767e-07,126.8,-0.3,-19.1,-6.7,-18.4,-2.1,2.9174039999999996e-07
37,88.06,-0.58,0.43,5.976e-07,127.6,-0.2,-17.4,-6.8,-15.1,-1.7,3.2389920000000004e-07
38,87.06,-0.58,0.43,7.672e-07,128.5,-0.3,-11.0,-6.7,-12.1,-1.3,5.117224000000001e-07
39,86.06,-0.58,0.43,9.849e-07,129.4,-0.3,-7.1,-6.6,-12.0,0.0,8.805006000000001e-07
40,85.06,-0.58,0.43,1.265e-06,130.3,-0.3,6.8,-6.5,-10.0,-0.1,1.15368e-06
41,84.06,-0.58,0.43,1.624e-06,131.2,-0.3,4.1,-6.4,-11.6,-1.7,1.369032e-06
42,83.06,-0.58,0.43,1.884e-06,130.3,2.6,11.8,-4.3,-6.3,-1.2,1.691832e-06
43,82.06,-0.58,0.43,2.099e-06,128.8,6.6,16.4,-1.2,-4.9,-0.5,2.0801090000000002e-06
44,81.06,-0.58,0.43,2.339e-06,127.3,10.6,11.7,1.8,-0.3,-0.1,2.2267279999999997e-06
45,80.06,-0.58,0.43,2.607e-06,125.9,14.6,7.6,4.8,1.7,1.6,2.4140820000000002e-06
46,79.06,-0.58,0.43,2.906e-06,124.4,18.6,9.8,7.8,3.6,2.3,2.9757439999999997e-06
47,78.06,-0.58,0.43,3.239e-06,122.9,22.6,13.6,10.8,4.2,1.3,3.0608549999999996e-06
48,77.06,-0.58,0.43,3.612e-06,121.4,26.6,27.6,13.8,16.0,1.3,3.662568e-06
49,76.06,-0.58,0.43,4.029e-06,119.9,30.7,26.6,16.8,26.1,0.1,4.057203e-06
50,75.06,-0.58,0.43,4.494e-06,118.4,34.7,29.6,19.8,24.5,0.8,4.377156e-06
51,74.06,-0.58,0.43,5.811e-06,119.1,27.9,16.9,15.9,12.0,1.5,6.194526e-06
52,73.06,-0.58,0.43,6.847e-06,120.0,20.6,9.9,11.5,9.9,0.9,6.614202e-06
53,72.06,-0.58,0.43,8.07e-06,120.8,13.2,4.9,7.2,14.7,0.3,7.90053e-06
54,71.06,-0.58,0.43,9.511e-06,121.7,5.8,0.3,2.8,9.0,1.1,1.0300413e-05
55,70.06,-0.58,0.43,1.121e-05,122.5,-1.6,-5.3,-1.5,6.5,0.7,1.220769e-05
56,69.06,-0.58,0.43,9.973e-06,126.2,-7.0,-9.2,-2.9,7.3,-0.2,1.1329327999999998e-05
57,68.06,-0.58,0.43,1.065e-05,130.1,-12.3,-17.3,-4.2,2.0,0.8,1.16724e-05
58,67.06,-0.58,0.43,1.139e-05,134.0,-17.5,-24.8,-5.5,-5.8,0.6,1.228981e-05
59,66.06,-0.58,0.43,1.219e-05,137.9,-22.8,-30.2,-6.7,3.6,1.4,1.344557e-05
60,65.06,-0.58,0.43,1.305e-05,141.8,-28.1,-31.1,-8.0,10.0,-0.1,1.368945e-05
61,64.06,-0.58,0.43,1.37e-05,144.0,-26.3,-24.6,-14.5,-1.5,0.8,1.4480899999999999e-05
62,63.06,-0.58,0.43,1.451e-05,146.1,-24.0,-34.5,-21.3,-10.7,0.2,1.4901769999999998e-05
63,62.06,-0.58,0.43,1.537e-05,148.2,-21.8,-32.4,-28.1,-23.0,0.9,1.710681e-05
64,61.06,-0.58,0.43,1.628e-05,150.3,-19.6,-34.2,-35.0,-35.8,1.3,1.764752e-05
65,60.06,-0.58,0.43,1.725e-05,152.4,-17.3,-26.2,-41.8,-41.0,0.6,1.7508749999999997e-05
66,59.06,-0.58,0.43,1.931e-05,151.0,-9.5,-19.5,-39.2,-30.1,0.4,2.1163760000000003e-05
67,58.06,-0.58,0.43,2.17e-05,149.4,-1.4,-12.9,-36.0,-29.3,0.5,2.4173800000000002e-05
68,57.06,-0.58,0.43,2.438e-05,147.8,6.7,-2.9,-32.9,-31.1,0.6,2.5623379999999998e-05
69,56.06,-0.58,0.43,2.739e-05,146.2,14.8,0.6,-29.7,-17.7,0.7,2.969076e-05
70,55.06,-0.58,0.43,3.079e-05,144.6,22.9,8.6,-26.6,-18.4,-0.3,3.534692e-05
71,54.06,-0.58,0.43,3.562e-05,141.7,15.1,2.9,-21.4,-8.1,-0.7,3.86477e-05
72,53.06,-0.58,0.43,4.131e-05,138.8,6.2,-7.2,-16.1,-6.9,-0.0,4.527576000000001e-05
73,52.06,-0.58,0.43,4.793e-05,135.8,-2.6,-11.3,-10.8,-4.1,-0.8,5.564673e-05
74,51.06,-0.58,0.44,5.564e-05,132.8,-11.5,-18.3,-5.5,3.3,-1.0,6.443112e-05
75,50.06,-0.58,0.44,6.462e-05,129.9,-20.3,-19.4,-0.2,7.5,-0.4,7.528230000000001e-05
76,49.06,-0.58,0.44,7.435e-05,129.8,-25.8,-28.3,3.3,12.2,0.4,8.66921e-05
77,48.06,-0.58,0.44,8.549e-05,129.9,-31.0,-36.2,6.8,15.3,0.6,9.728761999999998e-05
78,47.06,-0.58,0.44,9.831e-05,129.9,-36.3,-49.0,10.2,20.9,0.2,0.00011276157
79,46.06,-0.58,0.44,0.000113,130.0,-41.6,-56.1,13.6,25.0,-1.0,0.000129159
80,45.06,-0.58,0.44,0.00013,130.1,-46.8,-62.5,17.0,30.8,-1.1,0.00014261
81,44.06,-0.58,0.44,0.0001477,131.6,-48.5,-58.5,17.1,34.2,-1.0,0.0001546419
82,43.06,-0.58,0.44,0.0001677,133.2,-50.0,-59.2,17.0,33.1,-0.6,0.0001713894
83,42.06,-0.58,0.44,0.0001904,134.9,-51.5,-57.7,16.9,24.8,-0.3,0.00019401759999999998
84,41.06,-0.58,0.44,0.0002162,136.5,-53.1,-64.9,16.7,23.2,0.2,0.00022463179999999999
85,40.06,-0.58,0.44,0.0002456,138.1,-54.6,-60.5,16.6,22.9,0.4,0.00025149440000000003
86,39.06,-0.58,0.44,0.000275,140.9,-54.1,-58.3,14.3,20.8,0.6,0.00027830000000000004
87,38.06,-0.58,0.44,0.0003079,143.6,-53.5,-57.7,11.8,20.3,1.2,0.00031128689999999996
88,37.06,-0.58,0.44,0.0003448,146.4,-52.9,-61.6,9.3,17.7,2.5,0.0003437656
89,36.06,-0.58,0.44,0.0003862,149.2,-52.3,-59.0,6.8,15.1,2.3,0.00040010320000000003
90,35.06,-0.58,0.44,0.0004328,152.0,-51.7,-55.3,4.4,9.6,2.1,0.0004527088
91,34.06,-0.58,0.44,0.0004826,154.2,-49.2,-46.3,3.4,6.6,1.5,0.0004927346
92,33.06,-0.58,0.44,0.000538,156.3,-46.5,-40.5,2.5,6.8,1.2,0.00055414
93,32.06,-0.58,0.44,0.0005998,158.5,-43.8,-36.8,1.5,3.1,2.1,0.0006003998
94,31.06,-0.58,0.44,0.0006689,160.6,-41.2,-33.4,0.6,4.4,1.6,0.000648833
95,30.06,-0.58,0.44,0.000746,162.7,-38.5,-31.1,-0.3,3.1,1.4,0.000730334
96,29.06,-0.58,0.44,0.0008253,164.8,-37.1,-27.9,-1.3,0.7,1.3,0.0008038421999999999
97,28.06,-0.58,0.44,0.0009126,166.9,-35.8,-27.1,-2.2,5.0,1.7,0.0008751833999999999
98,27.06,-0.58,0.44,0.001009,169.1,-34.5,-26.1,-3.2,3.1,1.2,0.0009938649999999998
99,26.06,-0.58,0.44,0.001116,171.2,-33.2,-28.0,-4.1,0.5,1.2,0.001101492
100,25.06,-0.58,0.44,0.001235,173.3,-31.8,-24.8,-5.1,2.2,1.3,0.0011596649999999998
101,24.06,-0.58,0.44,0.001365,175.1,-29.5,-23.7,-5.3,0.7,1.1,0.0013240499999999998
102,23.06,-0.58,0.44,0.001508,176.9,-27.2,-25.3,-5.5,-3.7,1.4,0.001471808
103,22.06,-0.58,0.44,0.001666,178.7,-24.8,-26.5,-5.6,-2.4,0.7,0.001647674
104,21.06,-0.58,0.44,0.001841,180.6,-22.5,-21.3,-5.8,-2.8,0.2,0.001831795
105,20.06,-0.58,0.44,0.002035,182.4,-20.1,-18.7,-5.9,-1.7,0.2,0.00202279
106,19.06,-0.58,0.44,0.002241,184.1,-15.8,-14.0,-5.2,-3.2,0.3,0.002200662
107,18.06,-0.58,0.44,0.002468,185.8,-11.4,-13.0,-4.4,-3.5,0.3,0.002423576
108,17.06,-0.58,0.44,0.002718,187.5,-7.0,-8.1,-3.7,-4.3,-0.1,0.0026799479999999997
109,16.06,-0.58,0.44,0.002994,189.2,-2.6,-3.8,-2.9,-2.0,-0.2,0.00294909
110,15.06,-0.58,0.44,0.003297,191.0,1.9,1.4,-2.1,0.4,-0.6,0.003293703
111,14.06,-0.58,0.44,0.003613,192.8,4.1,-0.2,-1.9,-1.6,-0.2,0.003594935
112,13.06,-0.58,0.44,0.003957,194.7,6.2,1.0,-1.7,-0.1,-0.1,0.004004484
113,12.06,-0.58,0.44,0.004335,196.6,8.2,5.8,-1.5,0.2,-0.1,0.004408695
114,11.06,-0.58,0.44,0.004749,198.5,10.3,10.4,-1.3,1.6,0.3,0.004715757
115,10.06,-0.58,0.44,0.005203,200.3,12.4,10.7,-1.1,0.5,0.4,0.00515097
116,9.06,-0.58,0.44,0.005672,202.4,11.1,8.4,-0.8,-0.6,0.1,0.0055925919999999995
117,8.06,-0.58,0.44,0.006182,204.5,9.6,7.2,-0.4,-0.3,0.5,0.00612018
118,7.06,-0.58,0.44,0.006739,206.6,8.1,3.4,0.0,0.2,0.4,0.006698566
119,6.06,-0.58,0.44,0.007347,208.6,6.6,5.9,0.4,2.0,0.4,0.007266183
