,HgtMOLA,LatPC,LonW,Denkgm3,Temp,EWind,EWTot,NWind,NWTot,VWind,DensP
0,125.28,-0.13,359.42,1.593e-09,122.7,14.7,8.1,18.8,42.8,0.7,1.4528160000000001e-09
1,124.28,-0.13,359.42,1.864e-09,121.4,14.1,9.1,19.4,33.2,-2.4,2.179016e-09
2,123.28,-0.13,359.42,2.191e-09,120.1,13.3,3.6,19.8,37.9,-1.4,2.924985e-09
3,122.28,-0.13,359.42,2.586e-09,118.9,12.1,9.0,19.9,35.3,-0.4,2.8290840000000004e-09
4,121.28,-0.13,359.42,3.054e-09,117.6,11.0,-9.6,20.0,31.3,0.7,2.724168e-09
5,120.28,-0.13,359.42,3.608e-09,116.3,9.9,-6.8,20.2,35.9,-0.5,2.4498320000000002e-09
6,119.28,-0.13,359.42,4.262e-09,115.1,8.7,-5.5,20.3,37.4,-0.4,2.5870340000000004e-09
7,118.28,-0.13,359.42,5.032e-09,114.1,7.4,-2.1,20.0,32.3,-0.8,4.166496e-09
8,117.28,-0.13,359.42,5.938e-09,113.4,6.0,-4.6,19.3,25.5,-0.7,5.415456e-09
9,116.28,-0.13,359.42,7.009e-09,112.8,4.6,-4.5,18.7,14.6,-0.4,7.009e-09
10,115.28,-0.13,359.42,8.273e-09,112.1,3.2,-9.4,18.0,5.0,-0.9,8.008264000000001e-09
11,114.28,-0.13,359.42,9.766e-09,111.4,1.8,3.0,17.3,3.1,-2.1,1.1992647999999999e-08
12,113.28,-0.13,359.42,1.15e-08,111.2,0.6,2.4,16.4,1.7,-0.6,1.3179e-08
13,112.28,-0.13,359.42,1.352e-08,111.3,-0.4,2.7,15.2,2.1,-0.1,1.6562e-08
14,111.28,-0.13,359.42,1.589e-08,111.5,-1.3,6.8,14.0,5.4,0.8,1.773324e-08
15,110.28,-0.13,359.42,1.868e-08,111.6,-2.3,7.7,12.8,4.7,-0.0,1.955796e-08
16,109.28,-0.13,359.42,2.196e-08,111.8,-3.2,6.2,11.5,-4.7,-0.5,2.046672e-08
17,108.28,-0.13,359.42,2.571e-08,112.2,-3.9,7.1,10.3,-10.5,-1.8,2.221344e-08
18,107.28,-0.13,359.42,2.997e-08,113.0,-4.1,3.8,9.0,-8.0,-0.5,3.155841e-08
19,106.28,-0.13,359.42,3.494e-08,113.7,-4.4,1.8,7.8,-8.2,1.9,3.864364e-08
20,105.28,-0.13,359.42,4.073e-08,114.5,-4.6,5.2,6.5,-10.1,4.2,4.028197e-08
21,104.28,-0.13,359.42,4.749e-08,115.3,-4.9,14.6,5.2,1.9,5.1,4.0603949999999995e-08
22,103.28,-0.13,359.42,5.521e-08,116.1,-4.9,6.2,4.0,4.2,4.5,4.2070020000000005e-08
23,102.28,-0.13,359.42,6.4e-08,117.0,-4.8,12.1,3.0,8.3,5.6,5.0688000000000004e-08
24,101.28,-0.13,359.42,7.419e-08,117.9,-4.6,13.1,1.9,21.2,3.6,5.7200490000000007e-08
25,100.28,-0.13,359.42,8.602e-08,118.8,-4.5,17.0,0.8,18.7,3.2,7.105252e-08
26,99.28,-0.13,359.42,9.973e-08,119.7,-4.3,17.2,-0.3,19.9,2.2,9.215052e-08
27,98.28,-0.13,359.42,1.153e-07,120.6,-4.1,16.2,-1.2,20.9,1.6,9.65061e-08
28,97.28,-0.13,359.42,1.331e-07,121.3,-3.8,14.1,-2.1,21.9,3.2,1.0794410000000001e-07
29,96.28,-0.13,359.42,1.535e-07,122.1,-3.4,13.9,-2.9,22.8,2.6,1.1067349999999999e-07
30,95.28,-0.13,359.42,1.771e-07,122.8,-3.1,16.3,-3.7,14.2,2.2,1.1352109999999999e-07
31,94.28,-0.13,359.42,2.043e-07,123.6,-2.8,9.7,-4.6,14.3,1.5,1.650744e-07
32,93.28,-0.13,359.42,2.384e-07,124.3,-2.4,5.2,-5.2,10.4,2.7,1.6044320000000001e-07
33,92.28,-0.13,359.42,2.817e-07,124.9,-2.1,11.1,-5.6,6.7,4.1,1.845135e-07
34,91.28,-0.13,359.42,3.327e-07,125.5,-1.8,11.2,-6.0,-0.4,3.1,2.348862e-07
35,90.28,-0.13,359.42,3.93e-07,126.1,-1.5,1.8,-6.3,-2.0,1.4,3.1950899999999995e-07
36,89.28,-0.13,359.42,4.643e-07,126.7,-1.2,9.0,-6.7,-2.6,1.2,3.454392e-07
37,88.28,-0.13,359.42,5.712e-07,127.5,-1.1,5.2,-6.9,1.5,1.2,4.2554400000000004e-07
38,87.28,-0.13,359.42,7.325e-07,128.4,-1.1,10.0,-6.8,4.0,0.3,5.66955e-07
39,86.28,-0.13,359.42,9.394e-07,129.2,-1.0,8.4,-6.7,3.6,-0.3,7.70308e-07
40,85.28,-0.13,359.42,1.205e-06,130.1,-1.0,2.1,-6.7,4.2,-0.3,1.0013549999999999e-06
41,84.28,-0.13,359.42,1.545e-06,131.0,-1.0,-2.6,-6.6,6.6,-2.0,1.113945e-06
42,83.28,-0.13,359.42,1.848e-06,130.7,0.9,-5.0,-4.9,9.5,-2.1,1.2880559999999998e-06
43,82.28,-0.13,359.42,2.056e-06,129.3,4.7,2.1,-1.7,9.7,-2.3,1.208928e-06
44,81.28,-0.13,359.42,2.288e-06,127.8,8.5,9.2,1.6,8.8,-1.7,1.6748159999999998e-06
45,80.28,-0.13,359.42,2.547e-06,126.3,12.3,13.9,4.8,8.0,-3.1,2.042694e-06
46,79.28,-0.13,359.42,2.836e-06,124.8,16.1,14.5,8.0,18.8,-3.7,2.237604e-06
47,78.28,-0.13,359.42,3.158e-06,123.3,20.0,20.7,11.3,23.7,-3.4,2.807462e-06
48,77.28,-0.13,359.42,3.517e-06,121.8,23.8,20.4,14.5,26.1,-3.6,3.228606e-06
49,76.28,-0.13,359.42,3.918e-06,120.3,27.6,28.1,17.8,34.3,-2.1,3.4595939999999997e-06
50,75.28,-0.13,359.42,4.365e-06,118.8,31.4,37.2,21.0,29.9,-1.1,3.985245e-06
51,74.28,-0.13,359.42,5.61e-06,118.9,27.9,33.6,19.0,22.1,0.3,5.36877e-06
52,73.28,-0.13,359.42,6.622e-06,119.6,21.6,26.9,15.0,20.9,0.3,6.608756000000001e-06
53,72.28,-0.13,359.42,7.816e-06,120.3,15.3,17.4,10.9,15.9,1.2,7.651863999999999e-06
54,71.28,-0.13,359.42,9.226e-06,121.0,9.0,12.2,6.9,17.6,1.5,1.0240860000000001e-05
55,70.28,-0.13,359.42,1.089e-05,121.7,2.7,9.1,2.9,14.5,2.5,1.043262e-05
56,69.28,-0.13,359.42,9.891e-06,124.7,-3.4,4.3,0.7,10.5,3.6,9.554706e-06
57,68.28,-0.13,359.42,1.057e-05,128.6,-9.4,1.0,-0.7,5.5,3.6,9.79839e-06
58,67.28,-0.13,359.42,1.13e-05,132.5,-15.4,-2.8,-2.1,5.4,3.2,1.07237e-05
59,66.28,-0.13,359.42,1.21e-05,136.4,-21.4,-5.6,-3.5,0.5,1.8,9.873599999999998e-06
60,65.28,-0.13,359.42,1.297e-05,140.3,-27.4,-11.5,-4.9,-3.0,1.5,9.77938e-06
61,64.28,-0.13,359.42,1.362e-05,143.0,-27.9,-16.1,-10.7,-4.6,-0.3,1.1985600000000001e-05
62,63.28,-0.13,359.42,1.441e-05,145.2,-26.4,-15.5,-18.1,-9.4,-0.9,1.3530989999999999e-05
63,62.28,-0.13,359.42,1.524e-05,147.5,-24.8,-17.3,-25.5,-13.0,-0.9,1.40208e-05
64,61.28,-0.13,359.42,1.613e-05,149.7,-23.2,-10.4,-32.9,-30.7,-1.3,1.438796e-05
65,60.28,-0.13,359.42,1.708e-05,151.9,-21.6,-6.5,-40.4,-46.5,-1.2,1.482544e-05
66,59.28,-0.13,359.42,1.885e-05,151.5,-15.1,-2.3,-40.4,-46.1,-0.3,1.7568200000000002e-05
67,58.28,-0.13,359.43,2.115e-05,150.0,-6.7,6.1,-37.5,-46.7,0.2,1.854855e-05
68,57.28,-0.13,359.43,2.373e-05,148.5,1.7,14.2,-34.7,-41.8,0.6,2.23062e-05
69,56.28,-0.13,359.43,2.663e-05,147.1,10.1,20.1,-31.9,-37.7,-0.2,2.34344e-05
70,55.28,-0.13,359.43,2.988e-05,145.6,18.5,32.1,-29.0,-39.1,-0.2,2.8236599999999997e-05
71,54.28,-0.13,359.43,3.431e-05,143.0,15.0,26.1,-24.4,-33.5,-1.2,3.129072e-05
72,53.28,-0.13,359.43,3.977e-05,140.0,7.0,19.9,-19.1,-27.3,-1.9,3.483852e-05
73,52.28,-0.13,359.43,4.611e-05,137.0,-1.0,13.5,-13.8,-18.4,-2.8,4.1268449999999996e-05
74,51.28,-0.13,359.43,5.349e-05,134.0,-9.1,-0.8,-8.6,-9.9,-3.0,4.8034019999999996e-05
75,50.28,-0.13,359.43,6.208e-05,131.1,-17.1,-10.2,-3.3,-8.6,-2.0,5.7920640000000005e-05
76,49.28,-0.13,359.43,7.161e-05,130.2,-23.3,-18.0,0.8,-6.0,-1.6,6.781466999999999e-05
77,48.28,-0.13,359.43,8.24e-05,130.1,-28.6,-22.7,4.4,-4.4,-1.9,7.902159999999999e-05
78,47.28,-0.13,359.43,9.482e-05,130.1,-34.0,-31.3,7.9,-4.2,-1.0,8.91308e-05
79,46.28,-0.13,359.43,0.0001091,130.0,-39.4,-40.4,11.5,2.9,-0.3,0.0001018994
80,45.28,-0.13,359.43,0.0001255,130.0,-44.8,-45.1,15.1,10.3,-0.0,0.00011759349999999999
81,44.28,-0.13,359.43,0.0001431,131.1,-47.4,-46.1,16.2,10.5,0.1,0.0001232091
82,43.28,-0.13,359.43,0.0001625,132.7,-49.0,-46.5,16.4,11.3,1.3,0.0001464125
83,42.28,-0.13,359.43,0.0001846,134.3,-50.6,-45.1,16.5,10.8,1.5,0.0001681706
84,41.28,-0.13,359.43,0.0002098,135.9,-52.3,-48.6,16.7,18.5,1.8,0.0001955336
85,40.28,-0.13,359.43,0.0002383,137.5,-53.9,-53.4,16.8,13.6,2.2,0.0002280531
86,39.28,-0.13,359.43,0.0002679,140.0,-54.0,-50.0,15.2,11.1,1.7,0.0002622741
87,38.28,-0.13,359.43,0.0003,142.8,-53.6,-51.4,12.8,5.9,0.9,0.00030809999999999995
88,37.28,-0.13,359.43,0.000336,145.6,-53.2,-52.1,10.4,1.1,0.9,0.00034104
89,36.28,-0.13,359.43,0.0003765,148.4,-52.8,-56.7,8.0,0.1,1.3,0.000387795
90,35.28,-0.13,359.43,0.0004221,151.2,-52.4,-55.6,5.6,-1.6,1.2,0.00043982820000000003
91,34.28,-0.13,359.43,0.0004713,153.5,-50.4,-54.4,4.4,-2.2,0.3,0.0004863816
92,33.28,-0.13,359.43,0.0005256,155.6,-47.8,-49.9,3.5,-3.6,-0.3,0.0005366376
93,32.28,-0.13,359.43,0.0005863,157.7,-45.3,-45.0,2.7,-5.4,0.2,0.0005956808
94,31.28,-0.13,359.43,0.000654,159.8,-42.7,-43.1,1.8,-8.0,-0.5,0.00065073
95,30.28,-0.13,359.43,0.0007298,162.0,-40.1,-39.4,1.0,-8.2,-0.2,0.0007173933999999999
96,29.28,-0.13,359.43,0.0008089,164.1,-38.4,-36.8,0.1,-5.0,-0.0,0.0008234602
97,28.28,-0.13,359.43,0.0008944,166.2,-37.1,-32.5,-0.9,-5.8,-0.6,0.0008827727999999999
98,27.28,-0.13,359.43,0.0009892,168.4,-35.8,-31.4,-1.9,-7.3,-0.4,0.0009733728
99,26.28,-0.13,359.43,0.001094,170.5,-34.5,-29.7,-2.8,-9.5,-0.6,0.0010972819999999998
100,25.28,-0.13,359.43,0.00121,172.6,-33.2,-27.3,-3.8,-11.7,-0.7,0.00121968
101,24.28,-0.13,359.43,0.001338,174.6,-31.1,-28.4,-4.4,-12.5,-0.9,0.001309902
102,23.28,-0.13,359.43,0.001477,176.4,-28.8,-27.7,-4.8,-12.7,-1.0,0.001426782
103,22.28,-0.13,359.43,0.001632,178.3,-26.5,-26.3,-5.2,-10.1,-1.1,0.00156672
104,21.28,-0.13,359.43,0.001803,180.2,-24.2,-27.0,-5.7,-13.5,-0.6,0.0017723489999999999
105,20.28,-0.13,359.43,0.001992,182.0,-21.9,-25.6,-6.1,-12.8,-0.3,0.0020059439999999995
106,19.28,-0.13,359.43,0.002196,183.8,-18.0,-20.4,-5.7,-11.4,0.2,0.0022201559999999996
107,18.28,-0.13,359.43,0.002417,185.5,-13.5,-14.1,-5.0,-8.2,0.7,0.0024677569999999997
108,17.28,-0.13,359.43,0.002662,187.3,-9.1,-4.9,-4.4,-7.2,1.1,0.0027604939999999996
109,16.28,-0.13,359.43,0.002931,189.0,-4.6,-1.5,-3.7,-7.5,0.8,0.003059964
110,15.28,-0.13,359.43,0.003228,190.7,-0.1,1.8,-3.0,-7.6,0.6,0.003408768
111,14.28,-0.13,359.43,0.003541,192.5,2.6,4.2,-2.6,-6.1,0.2,0.0037676240000000002
112,13.28,-0.13,359.43,0.003878,194.4,4.7,6.7,-2.4,-5.3,0.5,0.004161094
113,12.28,-0.13,359.43,0.004248,196.3,6.8,9.3,-2.1,-5.5,0.3,0.004553856
114,11.28,-0.13,359.43,0.004654,198.2,8.9,9.8,-1.9,-4.4,0.4,0.00490997
115,10.28,-0.13,359.43,0.005098,200.0,11.0,13.1,-1.6,-4.6,0.2,0.005307018
116,9.28,-0.13,359.43,0.005564,202.0,10.7,13.1,-1.2,-0.5,0.1,0.0057754320000000005
117,8.28,-0.13,359.43,0.006065,204.1,9.4,13.2,-0.6,-0.9,0.7,0.00625908
118,7.28,-0.13,359.43,0.006611,206.2,8.1,13.6,-0.1,0.1,0.6,0.006710164999999999
119,6.28,-0.13,359.43,0.007206,208.2,6.9,12.1,0.4,3.1,0.4,0.007256441999999999
