,HgtMOLA,LatPC,LonW,Denkgm3,Temp,EWind,EWTot,NWind,NWTot,VWind,DensP
0,124.18,0.07,359.42,1.888e-09,121.2,14.3,29.7,19.5,4.5,2.2,1.117696e-09
1,124.08,0.07,359.42,1.918e-09,121.0,14.2,27.8,19.6,4.7,2.4,1.219848e-09
2,123.98,0.07,359.42,1.949e-09,120.9,14.2,30.7,19.6,7.9,2.6,1.3175240000000003e-09
3,123.88,0.07,359.42,1.979e-09,120.8,14.1,33.5,19.7,4.0,1.7,1.381342e-09
4,123.78,0.07,359.42,2.011e-09,120.7,14.0,33.4,19.8,4.5,1.6,1.42781e-09
5,123.68,0.07,359.42,2.044e-09,120.5,13.9,34.1,19.8,1.5,1.3,1.606584e-09
6,123.58,0.07,359.42,2.078e-09,120.4,13.8,30.5,19.8,4.3,1.5,1.861888e-09
7,123.48,0.07,359.42,2.113e-09,120.3,13.7,29.1,19.8,7.2,2.3,1.9355080000000003e-09
8,123.38,0.07,359.42,2.148e-09,120.2,13.6,25.6,19.8,8.0,2.9,1.9911960000000003e-09
9,123.28,0.07,359.42,2.184e-09,120.0,13.5,27.1,19.8,10.2,2.3,1.67076e-09
10,123.18,0.07,359.42,2.221e-09,119.9,13.3,26.5,19.8,7.7,2.7,1.6968440000000001e-09
11,123.08,0.07,359.42,2.258e-09,119.8,13.2,26.4,19.8,7.2,2.0,1.8357539999999998e-09
12,122.98,0.07,359.42,2.296e-09,119.7,13.1,20.3,19.8,7.5,2.3,1.855168e-09
13,122.88,0.07,359.42,2.334e-09,119.5,13.0,20.0,19.8,5.9,2.6,1.848528e-09
14,122.78,0.07,359.42,2.373e-09,119.4,12.9,21.3,19.8,5.8,3.0,1.865178e-09
15,122.68,0.07,359.42,2.413e-09,119.3,12.8,19.6,19.8,7.6,3.3,2.02692e-09
16,122.58,0.07,359.42,2.453e-09,119.2,12.6,17.9,19.8,10.2,3.2,2.016366e-09
17,122.48,0.07,359.42,2.494e-09,119.1,12.5,17.4,19.8,7.6,3.7,1.890452e-09
18,122.38,0.07,359.42,2.536e-09,118.9,12.4,20.1,19.8,6.7,4.1,1.7168720000000001e-09
19,122.28,0.07,359.42,2.578e-09,118.8,12.3,22.7,19.9,10.7,4.3,1.732416e-09
20,122.18,0.07,359.42,2.622e-09,118.7,12.2,23.6,19.9,13.0,3.9,1.8301559999999998e-09
21,122.08,0.07,359.42,2.665e-09,118.6,12.0,23.2,19.9,13.7,3.5,1.7695600000000002e-09
22,121.98,0.07,359.42,2.71e-09,118.4,11.9,19.1,19.9,18.0,3.9,1.9295199999999998e-09
23,121.88,0.07,359.42,2.755e-09,118.3,11.8,16.6,19.9,11.7,4.0,1.89544e-09
24,121.78,0.07,359.42,2.802e-09,118.2,11.7,16.9,19.9,11.9,3.3,1.840914e-09
25,121.68,0.07,359.42,2.848e-09,118.1,11.6,18.7,19.9,14.7,3.7,1.8512000000000002e-09
26,121.58,0.07,359.42,2.896e-09,117.9,11.5,19.3,19.9,19.6,3.3,1.85344e-09
27,121.48,0.07,359.42,2.945e-09,117.8,11.3,16.9,19.9,18.2,2.8,2.046775e-09
28,121.38,0.07,359.42,2.994e-09,117.7,11.2,16.4,19.9,17.6,2.7,2.167656e-09
29,121.28,0.07,359.42,3.044e-09,117.6,11.1,16.4,19.9,16.9,3.1,1.896412e-09
30,121.18,0.07,359.42,3.095e-09,117.5,11.0,13.7,19.9,12.6,3.5,2.0891250000000003e-09
31,121.08,0.07,359.42,3.147e-09,117.3,10.9,14.4,19.9,14.1,4.1,2.010933e-09
32,120.98,0.07,359.42,3.2e-09,117.2,10.8,12.5,19.9,11.7,4.5,1.9168e-09
33,120.88,0.07,359.42,3.253e-09,117.1,10.6,11.1,19.9,11.8,3.7,1.98433e-09
34,120.78,0.07,359.42,3.308e-09,117.0,10.5,6.0,19.9,10.9,3.3,1.981492e-09
35,120.68,0.07,359.42,3.363e-09,116.8,10.4,7.8,19.9,13.1,3.7,1.9639919999999998e-09
36,120.58,0.07,359.42,3.42e-09,116.7,10.3,6.7,20.0,14.1,4.0,1.99386e-09
