,HgtMOLA,LatPC,LonW,Denkgm3,Temp,EWind,EWTot,NWind,NWTot,VWind,DensP
0,124.04,-0.57,359.35,1.941e-09,120.9,14.5,14.1,19.2,-3.6,7.0,1.3819919999999997e-09
1,123.04,-0.57,359.35,2.286e-09,119.6,13.5,15.7,19.4,1.4,5.6,1.968246e-09
2,122.04,-0.57,359.35,2.699e-09,118.4,12.3,8.6,19.5,-0.2,5.3,2.5505549999999996e-09
3,121.04,-0.57,359.35,3.188e-09,117.1,11.2,20.6,19.5,0.1,6.7,3.079608e-09
4,120.04,-0.57,359.35,3.765e-09,115.8,10.0,20.8,19.6,17.0,6.0,3.63699e-09
5,119.04,-0.57,359.35,4.448e-09,114.6,8.9,19.3,19.7,20.3,5.0,4.367936e-09
6,118.04,-0.57,359.35,5.251e-09,113.7,7.5,25.6,19.2,23.3,6.2,5.954633999999999e-09
7,117.04,-0.57,359.35,6.199e-09,113.1,6.1,16.7,18.5,16.3,7.1,5.684483e-09
8,116.04,-0.57,359.35,7.32e-09,112.4,4.6,11.4,17.9,7.7,8.6,7.612800000000001e-09
9,115.04,-0.57,359.35,8.643e-09,111.8,3.2,8.1,17.2,5.1,7.1,8.936862e-09
10,114.04,-0.57,359.35,1.021e-08,111.1,1.8,-6.8,16.5,-6.8,5.1,1.110848e-08
11,113.04,-0.57,359.35,1.201e-08,111.1,0.7,-5.4,15.5,-10.4,1.8,1.280266e-08
12,112.04,-0.57,359.35,1.412e-08,111.3,-0.3,-2.1,14.3,-9.0,0.8,1.3131600000000001e-08
13,111.04,-0.57,359.35,1.659e-08,111.4,-1.3,0.5,13.1,-22.0,-0.4,1.41015e-08
14,110.04,-0.57,359.35,1.95e-08,111.6,-2.2,-2.3,11.9,-28.6,-0.8,1.8174e-08
15,109.04,-0.57,359.35,2.292e-08,111.8,-3.2,5.0,10.8,-30.8,-0.8,2.667888e-08
16,108.04,-0.57,359.35,2.677e-08,112.4,-3.7,0.8,9.6,-29.4,0.9,2.690385e-08
17,107.04,-0.57,359.35,3.121e-08,113.2,-3.9,9.1,8.4,-31.7,1.5,3.24584e-08
18,106.04,-0.57,359.35,3.638e-08,113.9,-4.2,16.4,7.2,-29.2,-0.4,3.732588e-08
19,105.04,-0.57,359.35,4.24e-08,114.7,-4.5,11.9,6.0,-21.0,-1.3,4.647040000000001e-08
20,104.04,-0.57,359.35,4.943e-08,115.5,-4.8,14.2,4.8,-21.1,-0.5,5.990916e-08
21,103.04,-0.57,359.35,5.737e-08,116.4,-4.7,13.3,3.7,-11.9,-0.7,6.827029999999999e-08
22,102.04,-0.57,359.35,6.649e-08,117.3,-4.6,4.3,2.7,-18.7,1.7,8.490772999999998e-08
23,101.04,-0.57,359.35,7.706e-08,118.3,-4.5,-3.7,1.7,-12.0,0.8,9.054550000000001e-08
24,100.04,-0.57,359.35,8.932e-08,119.2,-4.3,-2.3,0.7,-11.4,0.2,1.179024e-07
25,99.04,-0.57,359.35,1.035e-07,120.1,-4.2,-8.6,-0.3,-20.2,-0.6,1.3134149999999997e-07
26,98.04,-0.57,359.35,1.196e-07,120.9,-3.9,-1.0,-1.2,-16.7,0.8,1.4053000000000003e-07
27,97.04,-0.57,359.35,1.379e-07,121.7,-3.6,5.3,-2.0,-22.1,1.5,1.532069e-07
28,96.04,-0.57,359.35,1.59e-07,122.4,-3.3,4.3,-2.8,-18.8,0.7,1.58523e-07
29,95.04,-0.57,359.35,1.834e-07,123.2,-2.9,3.8,-3.6,-18.7,0.1,1.789984e-07
30,94.04,-0.57,359.35,2.115e-07,123.9,-2.6,5.7,-4.4,-24.0,-0.1,2.3730300000000004e-07
31,93.04,-0.57,359.35,2.481e-07,124.6,-2.3,2.7,-4.8,-26.3,-0.4,2.681961e-07
32,92.04,-0.57,359.35,2.929e-07,125.2,-2.0,-0.7,-5.2,-22.8,0.4,3.6700369999999997e-07
33,91.04,-0.57,359.35,3.458e-07,125.8,-1.7,8.1,-5.6,-27.7,0.9,4.073524e-07
34,90.04,-0.57,359.35,4.082e-07,126.4,-1.4,2.1,-6.0,-25.1,-0.9,5.747456e-07
35,89.04,-0.57,359.35,4.819e-07,127.0,-1.1,-0.7,-6.4,-17.6,-1.1,6.394813e-07
36,88.04,-0.57,359.35,6.048e-07,127.8,-1.1,-3.5,-6.4,-17.0,-1.7,8.213184000000001e-07
37,87.04,-0.57,359.35,7.761e-07,128.7,-1.0,-4.4,-6.3,-9.4,-2.3,1.0415262e-06
38,86.04,-0.57,359.35,9.959e-07,129.6,-1.0,0.8,-6.3,-2.9,-3.3,1.2279447e-06
39,85.04,-0.57,359.35,1.278e-06,130.5,-1.0,-3.5,-6.2,1.9,-2.9,1.419858e-06
40,84.04,-0.57,359.35,1.64e-06,131.4,-1.0,5.9,-6.1,-6.7,-2.5,1.7793999999999999e-06
41,83.04,-0.57,359.35,1.895e-06,130.5,1.9,13.9,-3.8,5.6,-4.0,2.22852e-06
42,82.04,-0.57,359.35,2.109e-06,129.1,5.9,14.1,-0.8,1.6,-4.0,2.2355400000000003e-06
43,81.04,-0.57,359.35,2.348e-06,127.6,9.9,18.9,2.3,9.1,-5.5,2.4043519999999997e-06
44,80.04,-0.57,359.35,2.614e-06,126.1,13.8,19.2,5.4,13.5,-4.1,2.773454e-06
45,79.04,-0.57,359.35,2.911e-06,124.6,17.8,25.1,8.5,1.7,-3.4,2.995419e-06
46,78.04,-0.57,359.35,3.241e-06,123.1,21.8,30.1,11.6,13.8,-1.3,3.7077039999999998e-06
47,77.04,-0.57,359.35,3.611e-06,121.6,25.7,36.3,14.7,18.6,0.5,4.506528e-06
48,76.04,-0.57,359.35,4.022e-06,120.1,29.7,50.3,17.7,21.2,0.9,5.00739e-06
49,75.04,-0.57,359.35,4.482e-06,118.7,33.7,42.6,20.8,21.2,1.3,4.997429999999999e-06
50,74.04,-0.57,359.35,5.826e-06,119.3,27.3,30.4,16.7,11.9,2.2,6.064866e-06
51,73.04,-0.57,359.35,6.872e-06,120.0,20.5,24.8,12.4,2.5,0.6,6.7414319999999996e-06
52,72.04,-0.57,359.35,8.105e-06,120.8,13.7,21.8,8.0,-3.1,0.5,8.323834999999999e-06
53,71.04,-0.57,359.35,9.559e-06,121.5,6.9,18.7,3.7,-9.6,1.2,9.186199e-06
54,70.04,-0.57,359.35,1.128e-05,122.2,0.1,8.1,-0.7,-10.3,1.6,1.17876e-05
55,69.04,-0.57,359.35,1.003e-05,125.9,-5.6,0.7,-2.3,-13.1,1.7,1.1213540000000001e-05
56,68.04,-0.57,359.35,1.072e-05,129.8,-11.3,0.7,-3.8,-15.6,1.7,1.1127360000000002e-05
57,67.04,-0.57,359.35,1.147e-05,133.6,-17.0,-6.0,-5.3,-15.4,0.1,1.176822e-05
58,66.04,-0.57,359.35,1.229e-05,137.5,-22.7,-13.8,-6.8,-13.9,-0.9,1.251122e-05
59,65.04,-0.57,359.35,1.318e-05,141.3,-28.4,-19.2,-8.3,-15.1,-1.9,1.420804e-05
60,64.04,-0.57,359.35,1.38e-05,143.6,-27.0,-24.6,-14.9,-17.5,-2.2,1.39656e-05
61,63.04,-0.57,359.35,1.46e-05,145.8,-25.3,-20.3,-21.7,-22.3,-0.9,1.49212e-05
62,62.04,-0.57,359.35,1.545e-05,148.0,-23.6,-19.6,-28.4,-26.6,0.1,1.55427e-05
63,61.04,-0.57,359.35,1.636e-05,150.2,-21.8,-20.0,-35.2,-35.9,-0.6,1.5787399999999997e-05
64,60.04,-0.57,359.35,1.732e-05,152.4,-20.1,-11.9,-42.0,-41.6,0.3,1.617688e-05
65,59.04,-0.57,359.36,1.939e-05,151.1,-11.9,2.8,-39.4,-40.2,0.1,1.76449e-05
66,58.04,-0.57,359.36,2.175e-05,149.6,-3.5,14.2,-36.5,-37.2,-0.0,2.00535e-05
67,57.04,-0.57,359.36,2.441e-05,148.1,4.9,22.6,-33.6,-32.7,0.7,2.362888e-05
68,56.04,-0.57,359.36,2.739e-05,146.7,13.4,30.9,-30.7,-31.9,0.1,2.714349e-05
69,55.04,-0.57,359.36,3.073e-05,145.2,21.8,36.2,-27.7,-26.9,0.9,3.097584e-05
70,54.04,-0.57,359.36,3.557e-05,142.2,14.0,26.2,-22.6,-20.2,0.5,3.688609e-05
71,53.04,-0.57,359.36,4.124e-05,139.2,5.7,21.2,-17.4,-18.0,-0.3,4.2270999999999996e-05
72,52.04,-0.57,359.36,4.784e-05,136.2,-2.6,12.1,-12.2,-7.0,-0.2,4.764864e-05
73,51.04,-0.57,359.36,5.552e-05,133.2,-11.0,-1.7,-7.0,-5.2,0.5,5.329919999999999e-05
74,50.04,-0.57,359.36,6.447e-05,130.2,-19.3,-8.8,-1.8,-1.9,-0.5,6.621068999999999e-05
75,49.04,-0.57,359.36,7.421e-05,130.0,-24.8,-16.3,1.9,3.5,-0.2,7.517472999999999e-05
76,48.04,-0.57,359.36,8.54e-05,130.0,-30.1,-18.5,5.4,7.5,-0.5,8.43752e-05
77,47.04,-0.57,359.36,9.828e-05,129.9,-35.4,-22.2,9.0,9.7,-0.4,0.00010034387999999999
78,46.04,-0.57,359.36,0.0001131,129.9,-40.7,-30.1,12.6,18.6,0.6,0.0001155882
