,HgtMOLA,LatPC,LonW,Denkgm3,Temp,EWind,EWTot,NWind,NWTot,VWind,DensP
0,125.47,0.98,359.15,1.537e-09,123.4,13.7,16.5,19.5,13.3,2.0,8.43813e-10
1,125.37,0.98,359.15,1.561e-09,123.3,13.6,15.5,19.6,11.3,2.2,8.81965e-10
2,125.27,0.98,359.15,1.585e-09,123.1,13.6,16.4,19.6,8.8,2.6,9.11375e-10
3,125.17,0.98,359.15,1.61e-09,123.0,13.5,17.2,19.7,7.3,3.3,8.694000000000001e-10
4,125.07,0.98,359.15,1.636e-09,122.9,13.5,16.9,19.8,8.0,3.3,9.61968e-10
5,124.97,0.98,359.15,1.661e-09,122.7,13.4,15.8,19.9,5.0,3.0,9.3016e-10
6,124.87,0.98,359.15,1.688e-09,122.6,13.4,14.6,19.9,3.4,2.5,8.64256e-10
7,124.77,0.98,359.15,1.714e-09,122.5,13.3,13.9,20.0,4.2,1.6,9.204180000000001e-10
8,124.67,0.98,359.15,1.741e-09,122.4,13.3,17.9,20.1,3.5,1.8,9.4014e-10
9,124.57,0.98,359.15,1.769e-09,122.2,13.2,16.6,20.2,4.9,1.1,9.00421e-10
10,124.47,0.98,359.15,1.797e-09,122.1,13.1,16.0,20.2,4.0,1.4,8.985e-10
11,124.37,0.98,359.15,1.825e-09,122.0,13.1,14.2,20.3,6.3,1.3,1.04025e-09
12,124.27,0.98,359.15,1.854e-09,121.9,13.0,19.0,20.4,7.5,1.0,9.69642e-10
13,124.17,0.98,359.15,1.883e-09,121.7,13.0,16.8,20.5,5.6,0.6,1.0657779999999998e-09
14,124.07,0.98,359.15,1.912e-09,121.6,12.9,17.9,20.5,9.6,0.8,1.06116e-09
15,123.97,0.98,359.15,1.943e-09,121.5,12.9,22.0,20.6,12.9,0.9,1.161914e-09
16,123.87,0.98,359.15,1.973e-09,121.4,12.8,21.3,20.7,16.1,0.9,1.0456900000000001e-09
17,123.77,0.98,359.15,2.004e-09,121.2,12.8,18.8,20.8,17.3,1.5,1.0901760000000002e-09
18,123.67,0.98,359.15,2.038e-09,121.1,12.7,14.9,20.8,18.1,0.9,1.2798640000000002e-09
19,123.57,0.98,359.15,2.072e-09,121.0,12.6,19.0,20.8,16.1,0.6,1.350944e-09
20,123.47,0.98,359.15,2.107e-09,120.9,12.4,20.7,20.8,15.3,-1.0,1.354801e-09
21,123.37,0.98,359.15,2.142e-09,120.7,12.3,22.7,20.8,12.9,-0.6,1.42443e-09
22,123.27,0.98,359.15,2.178e-09,120.6,12.2,20.9,20.9,15.2,-1.0,1.528956e-09
23,123.17,0.98,359.15,2.214e-09,120.5,12.1,21.4,20.9,12.8,-0.3,1.625076e-09
24,123.07,0.98,359.15,2.251e-09,120.4,12.0,19.5,20.9,9.4,-0.4,1.4969150000000003e-09
25,122.97,0.98,359.15,2.289e-09,120.2,11.9,15.1,20.9,13.6,-0.2,1.4489369999999998e-09
26,122.87,0.98,359.15,2.327e-09,120.1,11.8,12.5,20.9,12.8,-0.0,1.521858e-09
27,122.77,0.98,359.15,2.366e-09,120.0,11.7,14.2,21.0,10.0,-0.6,1.6940559999999998e-09
28,122.67,0.98,359.15,2.406e-09,119.8,11.6,11.2,21.0,11.8,-1.8,1.7924700000000001e-09
29,122.57,0.98,359.15,2.446e-09,119.7,11.4,7.8,21.0,7.6,-3.0,1.912772e-09
30,122.47,0.98,359.15,2.487e-09,119.6,11.3,7.2,21.0,5.7,-2.8,1.9149900000000002e-09
31,122.37,0.98,359.15,2.529e-09,119.5,11.2,7.2,21.0,5.7,-3.5,1.9346849999999997e-09
32,122.27,0.98,359.15,2.572e-09,119.3,11.1,7.0,21.0,4.5,-4.1,2.1399039999999996e-09
33,122.17,0.98,359.15,2.615e-09,119.2,11.0,10.6,21.1,6.7,-3.5,2.0763100000000002e-09
34,122.07,0.98,359.15,2.659e-09,119.1,10.9,11.4,21.1,8.7,-3.4,2.010204e-09
35,121.97,0.98,359.15,2.703e-09,119.0,10.8,14.7,21.1,12.8,-3.3,2.05428e-09
36,121.87,0.98,359.15,2.748e-09,118.8,10.7,13.9,21.1,15.2,-3.3,2.0802360000000002e-09
37,121.77,0.98,359.15,2.795e-09,118.7,10.5,12.6,21.1,11.8,-2.9,1.9145750000000003e-09
38,121.67,0.98,359.15,2.841e-09,118.6,10.4,9.5,21.2,11.9,-2.9,1.784148e-09
39,121.57,0.98,359.15,2.889e-09,118.5,10.3,10.2,21.2,13.5,-2.1,1.8085139999999998e-09
40,121.47,0.98,359.15,2.938e-09,118.3,10.2,10.9,21.2,10.7,-2.7,1.947894e-09
41,121.37,0.98,359.15,2.987e-09,118.2,10.1,8.6,21.2,9.5,-2.2,2.114796e-09
42,121.27,0.98,359.15,3.037e-09,118.1,10.0,6.5,21.2,8.2,-1.6,2.083382e-09
43,121.17,0.98,359.15,3.088e-09,118.0,9.9,9.3,21.2,8.4,-1.4,2.3067360000000002e-09
44,121.07,0.98,359.15,3.14e-09,117.8,9.8,9.4,21.3,9.5,-0.6,2.3518599999999998e-09
45,120.97,0.98,359.15,3.193e-09,117.7,9.6,13.9,21.3,10.7,0.1,2.369206e-09
46,120.87,0.98,359.15,3.246e-09,117.6,9.5,11.8,21.3,14.1,-0.1,2.476698e-09
47,120.77,0.98,359.15,3.301e-09,117.4,9.4,12.5,21.3,16.6,0.8,2.482352e-09
48,120.67,0.98,359.15,3.356e-09,117.3,9.3,8.6,21.3,13.3,1.3,2.446524e-09
49,120.57,0.98,359.15,3.412e-09,117.2,9.2,8.0,21.4,10.4,1.3,2.5965319999999997e-09
50,120.47,0.98,359.15,3.47e-09,117.1,9.1,4.2,21.4,8.2,0.8,2.77253e-09
51,120.37,0.98,359.15,3.528e-09,116.9,9.0,1.5,21.4,6.7,0.4,2.68128e-09
52,120.27,0.98,359.15,3.587e-09,116.8,8.9,2.8,21.4,9.3,0.5,2.830143e-09
53,120.17,0.98,359.15,3.648e-09,116.7,8.8,-0.1,21.4,11.7,0.2,3.15552e-09
54,120.07,0.98,359.15,3.709e-09,116.6,8.6,0.5,21.4,10.4,0.1,3.171195e-09
55,119.97,0.98,359.15,3.771e-09,116.4,8.5,-1.3,21.5,12.3,-0.1,3.0997620000000003e-09
56,119.87,0.98,359.15,3.835e-09,116.3,8.4,0.6,21.5,12.2,-0.4,3.232905e-09
57,119.77,0.98,359.15,3.899e-09,116.2,8.3,1.1,21.5,14.0,-0.4,3.466211e-09
58,119.67,0.98,359.15,3.965e-09,116.1,8.2,-4.1,21.5,15.5,-0.8,3.4892000000000003e-09
59,119.57,0.98,359.15,4.031e-09,115.9,8.1,-6.8,21.5,13.6,-0.3,3.853636e-09
60,119.47,0.98,359.15,4.099e-09,115.8,8.0,-5.3,21.6,14.5,-0.7,3.7669810000000005e-09
61,119.37,0.98,359.15,4.168e-09,115.7,7.9,-7.8,21.6,13.8,-0.5,4.1096479999999995e-09
62,119.27,0.98,359.15,4.238e-09,115.5,7.7,-5.8,21.6,7.8,-0.9,4.072718e-09
63,119.17,0.98,359.15,4.309e-09,115.4,7.6,-8.6,21.6,9.0,-0.9,4.455506e-09
64,119.07,0.98,359.15,4.382e-09,115.3,7.5,-7.3,21.6,7.8,-1.6,4.14099e-09
65,118.97,0.98,359.15,4.456e-09,115.2,7.4,-8.5,21.6,7.6,-1.4,4.184184e-09
66,118.87,0.98,359.15,4.531e-09,115.0,7.3,-5.7,21.7,6.0,-0.9,3.969156e-09
67,118.77,0.98,359.15,4.607e-09,114.9,7.2,-2.6,21.7,3.0,-0.8,4.298331e-09
68,118.67,0.98,359.15,4.683e-09,114.8,7.0,-5.5,21.6,4.0,-0.8,4.434800999999999e-09
69,118.57,0.98,359.16,4.761e-09,114.8,6.9,-5.8,21.5,5.4,-0.3,4.170636e-09
70,118.47,0.98,359.16,4.84e-09,114.7,6.8,-3.5,21.5,7.2,-0.4,4.24468e-09
71,118.37,0.98,359.16,4.92e-09,114.6,6.6,-3.8,21.4,10.8,-1.0,4.1278800000000004e-09
72,118.27,0.98,359.16,5.002e-09,114.6,6.5,-3.3,21.4,13.7,-0.9,3.971588e-09
73,118.17,0.98,359.16,5.085e-09,114.5,6.4,-2.9,21.3,14.1,-0.9,4.062915e-09
74,118.07,0.98,359.16,5.169e-09,114.4,6.2,-5.8,21.2,16.3,-1.5,4.1352e-09
75,117.97,0.98,359.16,5.255e-09,114.4,6.1,-6.4,21.2,13.9,-2.7,3.988545e-09
76,117.87,0.98,359.16,5.342e-09,114.3,5.9,-7.9,21.1,14.2,-2.1,4.03321e-09
77,117.77,0.98,359.16,5.431e-09,114.2,5.8,-6.4,21.0,15.3,-1.4,3.953768e-09
78,117.67,0.98,359.16,5.521e-09,114.2,5.7,-3.4,21.0,16.6,-0.9,3.743238000000001e-09
79,117.57,0.98,359.16,5.612e-09,114.1,5.5,-2.6,20.9,15.5,-0.9,4.130432e-09
80,117.47,0.98,359.16,5.706e-09,114.0,5.4,-5.3,20.8,15.9,-0.9,4.382208e-09
81,117.37,0.98,359.16,5.8e-09,113.9,5.3,-6.7,20.8,14.9,0.0,4.6458e-09
82,117.27,0.98,359.16,5.897e-09,113.9,5.1,-10.5,20.7,14.2,0.6,4.705806e-09
83,117.17,0.98,359.16,5.994e-09,113.8,5.0,-13.5,20.6,11.3,1.3,4.699296e-09
84,117.07,0.98,359.16,6.094e-09,113.7,4.8,-12.1,20.6,12.1,1.9,4.728944e-09
85,116.97,0.98,359.16,6.195e-09,113.7,4.7,-13.8,20.5,11.3,1.5,5.1170699999999996e-09
86,116.87,0.98,359.16,6.298e-09,113.6,4.6,-12.5,20.5,9.8,1.4,5.095082000000001e-09
87,116.77,0.98,359.16,6.403e-09,113.5,4.4,-14.8,20.4,7.6,0.6,5.941984e-09
88,116.67,0.98,359.16,6.509e-09,113.5,4.3,-17.2,20.3,3.9,1.2,5.936208e-09
89,116.57,0.98,359.16,6.617e-09,113.4,4.1,-19.8,20.3,5.3,0.9,6.425107e-09
90,116.47,0.98,359.16,6.727e-09,113.3,4.0,-18.7,20.2,3.8,0.6,7.096984999999999e-09
91,116.37,0.98,359.16,6.839e-09,113.3,3.9,-18.9,20.1,3.9,0.9,7.297213e-09
92,116.27,0.98,359.16,6.952e-09,113.2,3.7,-17.8,20.1,1.9,0.4,6.952e-09
93,116.17,0.98,359.16,7.068e-09,113.1,3.6,-17.9,20.0,4.3,0.0,7.4355360000000005e-09
94,116.07,0.98,359.16,7.185e-09,113.0,3.5,-16.4,19.9,1.3,-0.2,7.264034999999999e-09
95,115.97,0.98,359.16,7.305e-09,113.0,3.3,-13.7,19.9,1.8,0.2,7.46571e-09
96,115.87,0.98,359.16,7.426e-09,112.9,3.2,-12.7,19.8,0.4,-0.2,7.997802e-09
97,115.77,0.98,359.16,7.55e-09,112.8,3.0,-9.8,19.7,-0.5,-0.1,7.81425e-09
98,115.67,0.98,359.16,7.675e-09,112.8,2.9,-10.3,19.7,-1.5,-0.1,8.511574999999999e-09
99,115.57,0.98,359.16,7.803e-09,112.7,2.8,-14.9,19.6,-5.8,0.6,8.161938e-09
100,115.47,0.98,359.16,7.933e-09,112.6,2.6,-14.4,19.6,-1.9,0.1,7.718809e-09
101,115.37,0.98,359.16,8.064e-09,112.6,2.5,-14.2,19.5,-2.2,0.3,7.2576e-09
102,115.27,0.98,359.16,8.199e-09,112.5,2.4,-12.5,19.4,-2.9,0.4,7.313508e-09
103,115.17,0.98,359.16,8.335e-09,112.4,2.2,-12.1,19.4,2.4,0.1,7.976594999999999e-09
104,115.07,0.98,359.16,8.473e-09,112.4,2.1,-10.9,19.3,-2.2,0.4,8.235755999999998e-09
105,114.97,0.98,359.16,8.614e-09,112.3,1.9,-11.1,19.2,-0.0,0.7,7.924880000000001e-09
106,114.87,0.98,359.16,8.758e-09,112.2,1.8,-13.6,19.2,3.1,0.5,8.05736e-09
107,114.77,0.98,359.16,8.903e-09,112.1,1.7,-11.6,19.1,3.6,0.8,7.790125e-09
108,114.67,0.98,359.16,9.052e-09,112.1,1.5,-11.7,19.0,3.5,0.9,7.576524e-09
109,114.57,0.98,359.16,9.202e-09,112.0,1.4,-13.7,19.0,3.8,0.1,8.116164e-09
110,114.47,0.98,359.16,9.355e-09,111.9,1.3,-10.7,18.9,3.8,0.3,8.952734999999999e-09
111,114.37,0.98,359.16,9.511e-09,111.9,1.1,-7.4,18.8,2.7,-0.1,9.149582e-09
112,114.27,0.98,359.16,9.669e-09,111.8,1.0,-7.5,18.8,4.3,-0.0,9.407937e-09
113,114.17,0.98,359.16,9.83e-09,111.7,0.8,-8.5,18.7,4.2,-0.4,9.74153e-09
114,114.07,0.98,359.16,9.994e-09,111.7,0.7,-8.7,18.7,2.9,-0.4,1.019388e-08
115,113.97,0.98,359.16,1.016e-08,111.6,0.6,-7.2,18.6,1.8,0.7,1.10744e-08
116,113.87,0.98,359.16,1.033e-08,111.5,0.4,-7.9,18.5,-3.6,0.7,1.143531e-08
117,113.77,0.98,359.16,1.05e-08,111.5,0.3,-4.5,18.5,-5.6,1.7,1.1655e-08
118,113.67,0.98,359.16,1.067e-08,111.5,0.2,-6.9,18.3,-7.5,1.7,1.1715660000000001e-08
119,113.57,0.98,359.16,1.085e-08,111.5,0.1,-7.3,18.2,-7.1,1.3,1.1728849999999999e-08
120,113.47,0.98,359.16,1.102e-08,111.5,0.0,-8.1,18.1,-8.1,0.0,1.142774e-08
121,113.37,0.98,359.16,1.12e-08,111.5,-0.1,-6.3,17.9,-8.8,-0.1,1.0718399999999999e-08
122,113.27,0.98,359.16,1.139e-08,111.5,-0.2,-6.2,17.8,-4.9,0.5,9.85235e-09
123,113.17,0.98,359.16,1.157e-08,111.5,-0.3,-5.7,17.7,-3.9,1.1,1.030887e-08
124,113.07,0.98,359.16,1.176e-08,111.5,-0.4,-5.7,17.5,-1.1,0.9,1.1089680000000001e-08
125,112.97,0.98,359.16,1.195e-08,111.5,-0.4,-4.9,17.4,-3.4,1.4,1.059965e-08
126,112.87,0.98,359.16,1.215e-08,111.6,-0.5,-3.1,17.3,-7.7,0.8,1.111725e-08
127,112.77,0.98,359.16,1.235e-08,111.6,-0.6,0.1,17.1,-5.4,0.9,1.19054e-08
128,112.67,0.98,359.16,1.255e-08,111.6,-0.7,-0.7,17.0,-3.3,1.4,1.14958e-08
129,112.57,0.98,359.16,1.275e-08,111.6,-0.8,-0.4,16.9,-5.3,1.6,1.148775e-08
130,112.47,0.98,359.16,1.296e-08,111.6,-0.9,-1.8,16.7,-3.5,2.0,1.0886399999999999e-08
131,112.37,0.98,359.16,1.317e-08,111.6,-1.0,0.1,16.6,-2.3,1.8,1.259052e-08
132,112.27,0.98,359.16,1.339e-08,111.6,-1.1,-2.5,16.5,-0.2,2.0,1.296152e-08
133,112.17,0.98,359.16,1.36e-08,111.6,-1.2,-2.5,16.3,1.4,2.1,1.3396e-08
134,112.07,0.98,359.16,1.383e-08,111.6,-1.3,-2.8,16.2,1.8,2.3,1.31385e-08
135,111.97,0.98,359.16,1.405e-08,111.7,-1.4,-6.3,16.0,5.2,1.7,1.496325e-08
136,111.87,0.98,359.16,1.428e-08,111.7,-1.5,-3.9,15.9,3.0,1.4,1.445136e-08
137,111.77,0.98,359.16,1.451e-08,111.7,-1.5,-2.4,15.8,-0.4,1.6,1.4364900000000001e-08
138,111.67,0.98,359.16,1.475e-08,111.7,-1.6,-1.1,15.6,0.6,2.4,1.4395999999999999e-08
139,111.57,0.98,359.16,1.499e-08,111.7,-1.7,1.3,15.5,2.7,2.2,1.530479e-08
140,111.47,0.98,359.16,1.524e-08,111.7,-1.8,2.6,15.4,-1.3,2.5,1.499616e-08
141,111.37,0.98,359.16,1.548e-08,111.7,-1.9,-2.3,15.2,1.5,2.5,1.6625520000000002e-08
142,111.27,0.98,359.16,1.574e-08,111.7,-2.0,-2.4,15.1,1.3,3.4,1.8337100000000003e-08
143,111.17,0.98,359.16,1.599e-08,111.7,-2.1,-0.9,15.0,3.3,3.4,1.685346e-08
144,111.07,0.98,359.16,1.625e-08,111.8,-2.2,0.0,14.8,4.8,3.0,1.75175e-08
145,110.97,0.98,359.16,1.652e-08,111.8,-2.3,0.3,14.7,7.9,3.5,1.7957239999999997e-08
146,110.87,0.98,359.16,1.679e-08,111.8,-2.4,-0.4,14.6,9.0,2.9,1.6907529999999997e-08
147,110.77,0.98,359.16,1.706e-08,111.8,-2.5,-2.3,14.4,12.0,3.0,1.72306e-08
148,110.67,0.98,359.16,1.734e-08,111.8,-2.6,-5.4,14.3,10.4,3.4,1.7634779999999998e-08
149,110.57,0.98,359.16,1.762e-08,111.8,-2.7,-6.7,14.2,13.0,3.8,1.81486e-08
150,110.47,0.98,359.16,1.791e-08,111.8,-2.7,-7.1,14.0,12.8,3.3,1.9289069999999997e-08
151,110.37,0.98,359.16,1.82e-08,111.8,-2.8,-6.3,13.9,17.2,3.2,2.1330399999999998e-08
152,110.27,0.98,359.16,1.85e-08,111.8,-2.9,-7.8,13.8,18.8,3.7,2.12565e-08
153,110.17,0.98,359.16,1.88e-08,111.9,-3.0,-7.5,13.6,18.5,3.4,2.2748e-08
154,110.07,0.98,359.16,1.911e-08,111.9,-3.1,-6.2,13.5,18.1,2.9,2.463279e-08
155,109.97,0.98,359.16,1.942e-08,111.9,-3.2,-6.1,13.4,15.9,2.8,2.8217260000000004e-08
156,109.87,0.98,359.16,1.974e-08,111.9,-3.3,-9.3,13.2,14.3,2.9,2.805054e-08
157,109.77,0.98,359.16,2.006e-08,111.9,-3.4,-9.6,13.1,17.2,2.8,2.680016e-08
158,109.67,0.98,359.16,2.039e-08,111.9,-3.5,-9.7,13.0,17.6,3.2,2.832171e-08
